stratum,phase,window_tokens,uniform_expected_unique_experts,observed_unique_mean,observed_unique_median,observed_unique_min,observed_unique_max,observed_over_uniform_mean,effective_expert_count_mean,top128_concentration_mean,top16_concentration_mean,top256_concentration_mean,top32_concentration_mean,top64_concentration_mean
chat_en,prefill,1,10.0,10.0,10.0,10.0,10.0,1.0,9.999999999999998,1.0,1.0,1.0,1.0,1.0
chat_en,prefill,2,19.8046875,16.56430392795139,17.0,10.0,20.0,0.8363829991233838,15.959246952249641,1.0,0.9367099338107638,1.0,1.0,1.0
chat_en,prefill,4,38.84330928325653,27.108167860243057,27.0,11.0,40.0,0.6978851277207752,24.486642341767073,1.0,0.7221062554253472,1.0,0.9890997992621527,1.0
chat_en,prefill,8,74.7397383398046,43.557576497395836,43.0,14.0,80.0,0.5827900587417244,36.11382032563857,1.0,0.6327338324652778,1.0,0.8504503038194444,0.9985065036349826
chat_en,prefill,16,138.56926479073724,68.54590671885192,68.0,24.0,147.0,0.49466890671872804,51.535509795884,0.9999107312731028,0.5491360214176995,1.0,0.7574421749293324,0.9439807736736247
chat_en,prefill,32,239.63571484583883,103.5030487804878,102.0,33.0,229.0,0.4319182925094151,70.28339515156455,0.9918179469484729,0.4840526978960668,1.0,0.674537447127005,0.8673493377142386
chat_en,prefill,64,367.11268783684136,149.73215914272686,148.0,41.0,293.0,0.4078642991747358,91.9343874962271,0.9567389492134063,0.4311550156036252,0.9998870028571022,0.6065500936930005,0.7977366950595646
chat_en,prefill,128,470.99934916823327,204.98555249788316,205.0,58.0,364.0,0.4352140886391451,113.20082554279622,0.9148222093961685,0.3943144933672029,0.9983627211667372,0.5570001449821832,0.7416471657361347
chat_en,prefill,256,508.71669263939754,268.51171214043995,269.0,78.0,407.0,0.5278217051367209,135.76290749271246,0.8724002534766286,0.36363088540014277,0.98930810712114,0.5164926699978849,0.6942251137670526
chat_en,prefill,512,511.97894510307776,332.1381983901515,331.0,165.0,440.0,0.6487340965228198,161.1486241424794,0.8309428590716738,0.32707505081639143,0.9740383552782463,0.47126772331468986,0.6445045586788293
chat_en,prefill,1024,511.99999913416275,340.2451171875,335.0,251.0,459.0,0.6645412456306339,130.2449093706128,0.8975274721781413,0.3564286231994629,0.9860108693440756,0.5346484184265137,0.7333194096883138
chat_en,decode,1,10.0,10.0,10.0,10.0,10.0,1.0,9.999999999999998,1.0,1.0,1.0,1.0,1.0
chat_en,decode,2,19.8046875,16.813245985243057,17.0,10.0,20.0,0.8489528544817007,16.228651690415344,1.0,0.9296637641059028,1.0,1.0,1.0
chat_en,decode,4,38.84330928325653,28.02956814236111,28.0,12.0,40.0,0.7216060799032717,25.47828997830828,1.0,0.6991068522135416,1.0,0.9854203965928819,1.0
chat_en,decode,8,74.7397383398046,45.605021158854164,45.0,14.0,80.0,0.6101843834602512,38.23620098431286,1.0,0.607718743218316,1.0,0.8265092637803819,0.9984770033094618
chat_en,decode,16,138.56926479073724,71.86707899305556,71.0,22.0,138.0,0.5186365035679944,54.81978810256099,0.9999725341796875,0.5239871554904514,1.0,0.7341538323296442,0.9318841722276475
chat_en,decode,32,239.63571484583883,108.20526801215277,106.0,33.0,219.0,0.4515406565409618,74.4809731661369,0.9900022294786242,0.46314383612738713,1.0,0.6535024854871961,0.8523000929090712
chat_en,decode,64,367.11268783684136,153.5064697265625,152.0,48.0,289.0,0.4181453673831794,95.12855198136833,0.9527293947007921,0.41896275414360895,0.9999202728271485,0.5953965293036567,0.7892650180392795
chat_en,all,1,10.0,10.0,10.0,10.0,10.0,1.0,9.999999999999998,1.0,1.0,1.0,1.0,1.0
chat_en,all,2,19.8046875,16.660725911458332,17.0,10.0,20.0,0.8412516436554898,16.060839277113576,1.0,0.9344170464409722,1.0,1.0,1.0
chat_en,all,4,38.84330928325653,27.46478949652778,27.0,11.0,40.0,0.7070661589682452,24.86622946806815,1.0,0.7132022433810764,1.0,0.9879967583550348,1.0
chat_en,all,8,74.7397383398046,44.363132052951386,44.0,14.0,80.0,0.5935682013128569,36.95707295181213,1.0,0.6227595011393229,1.0,0.8409947713216146,0.998506842719184
chat_en,all,16,138.56926479073724,69.62897406684027,69.0,23.0,146.0,0.5024849786999424,52.61062404263432,0.9999253167046441,0.5405115763346354,1.0,0.7498006184895833,0.9404949612087674
