budget_gib,homogeneous_holdout,same_domain_mean,same_domain_min,same_domain_max,cross_domain_mean,cross_domain_min,cross_domain_max,session,long_context_8k,mixed_online_mean,mixed_online_min,mixed_online_max
4.0,0.3858564022163127,0.3424110037787397,0.27364865198901345,0.4118514693934219,0.24476336147922934,0.1989168511725552,0.2889285602300313,0.17261612356958847,0.13766695202305254,0.2774678161425999,0.27590197167836494,0.28025358814386153
7.0,0.5293372263368283,0.46060598094813815,0.3746105543285927,0.5442680690309102,0.34046396453886957,0.28152791154963475,0.40066969957968085,0.24947824800344603,0.20707128696633303,0.38333358856355626,0.38150427840344675,0.386926915255102
8.0,0.5677414308982494,0.492707232694736,0.4050433608126757,0.5778117333394476,0.3671014877859738,0.3062770451020965,0.4279699475959503,0.2734539894052427,0.22939556844139694,0.41340911710217565,0.41161233469896974,0.41700118566637645
12.0,0.6928328755158111,0.6001273956982425,0.5131063050318858,0.6881493911711984,0.46549822988255807,0.39930845987991265,0.5330339217350839,0.3648691763625788,0.31343939336491633,0.5178017465300825,0.5161405347064136,0.5210371514798481
16.0,0.7835770927516285,0.6846931752048647,0.6027040028298368,0.7698918888157025,0.5473824518068903,0.476773296851105,0.6171280607749979,0.44460718214385175,0.3932105053937353,0.6041016269424563,0.6026383229697316,0.6066553205926605
19.0,0.836632120319628,0.736829893376815,0.6617031558752599,0.8178895775019627,0.5994759313902719,0.5299790445271437,0.6706125232858209,0.5005323891314513,0.45110924493681,0.6592265090304787,0.6580633835842669,0.6613110491599286
