scope,request_count,model_token_observations,ple_unique_rows,ple_unique_mib,ple_fraction_of_address_space,moe_unique_layer_experts,moe_union_fraction,top64_selection_fraction,top128_selection_fraction,top256_selection_fraction
global_natural_workload_union,,,877377,133.87710571289062,0.0027417899644081706,24567,0.9996337890625,0.335342835848705,0.5184591329731073,0.7742614278616234
chat_en,24,15343,69108,10.5450439453125,0.00021596146338497576,24294,0.988525390625,0.4853259629798607,0.6789423515609725,0.8913334528232197
code,24,7758,53772,8.2049560546875,0.00016803669342387156,22885,0.9311930338541666,0.557550270688322,0.7482636203488872,0.928788025264243
knowledge,24,8812,72377,11.043853759765625,0.00022617703935021112,23756,0.9666341145833334,0.44695160009078533,0.6479164302466335,0.8812211567559386
long_context_8k,8,57848,508224,77.548828125,0.001588192376676592,24495,0.9967041015625,0.3743289886138385,0.5646865852463927,0.8111261049071129
math,24,6250,44206,6.74530029296875,0.0001381430869131828,23194,0.9437662760416666,0.5483023333333333,0.7392500000000001,0.9203169999999999
multilingual,24,6440,51537,7.863922119140625,0.00016105235194871064,23216,0.9446614583333334,0.5107637810559007,0.7097758152173913,0.9132333721532091
session,24,31724,127355,19.432830810546875,0.0003979824646841695,24313,0.9892985026041666,0.45714298848400786,0.6472763128861428,0.8681598842096417
